ticket_id,customer_id,created_at,resolved_at,category,priority,status,resolution_time_hours,ticket_text
67,0526-SXDJP,2026-06-11,2026-06-12,billing,high,closed,25.51,Reported a failed payment and requested a retry.
68,0526-SXDJP,2026-05-02,,billing,low,open,,Asked why the monthly charge increased without notice.
69,0526-SXDJP,2026-05-24,,other,medium,open,,General question about plan upgrade options.
70,0557-ASKVU,2026-06-26,,other,medium,open,,Provided feedback about the onboarding experience.
71,0557-ASKVU,2026-04-30,2026-04-30,other,low,closed,18.29,Requested a copy of past invoices.
72,5122-CYFXA,2026-05-30,2026-05-31,other,medium,closed,29.52,Provided feedback about the onboarding experience.
73,5122-CYFXA,2026-08-09,2026-08-09,technical,low,closed,18.04,Requested help configuring an integration.
74,3410-YOQBQ,2026-06-17,2026-06-17,technical,low,closed,16.52,App crashes when loading the dashboard view.
75,3170-NMYVV,2026-05-11,2026-05-11,technical,medium,closed,17.71,Reported repeated login failures over the past week.
76,0731-EBJQB,2026-06-20,2026-06-21,technical,medium,closed,39.37,Requested help configuring an integration.
77,1891-QRQSA,2026-04-21,2026-04-22,other,medium,closed,46.32,Requested a copy of past invoices.
78,5630-AHZIL,2026-06-27,2026-06-27,other,medium,closed,17.09,Asked about cancellation policy and notice period.
79,5590-ZSKRV,2026-08-08,,billing,high,open,,Asked why the monthly charge increased without notice.
80,0191-ZHSKZ,2026-08-10,2026-08-10,billing,low,closed,9.18,Asked why the monthly charge increased without notice.
81,3887-PBQAO,2026-05-28,,technical,low,open,,Requested help configuring an integration.
82,3887-PBQAO,2026-05-23,2026-05-23,other,medium,closed,14.19,Provided feedback about the onboarding experience.
83,8108-UXRQN,2026-06-10,2026-06-10,billing,medium,closed,6.36,Reported a failed payment and requested a retry.
84,9919-YLNNG,2026-08-29,2026-08-29,technical,low,closed,9.24,App crashes when loading the dashboard view.
85,9919-YLNNG,2026-06-02,,billing,medium,open,,Asked why the monthly charge increased without notice.
86,9919-YLNNG,2026-08-19,2026-08-20,other,high,closed,42.21,Requested a copy of past invoices.
87,9919-YLNNG,2026-05-18,,other,low,open,,Provided feedback about the onboarding experience.
88,0318-ZOPWS,2026-03-30,2026-03-31,billing,medium,closed,41.44,Customer disputes a charge on their most recent invoice.
89,4445-ZJNMU,2026-06-14,,technical,high,open,,Reported repeated login failures over the past week.
90,2796-NNUFI,2026-04-29,2026-04-29,technical,low,closed,7.53,App crashes when loading the dashboard view.
91,2796-NNUFI,2026-06-02,2026-06-03,other,low,closed,36.43,Provided feedback about the onboarding experience.
92,9848-JQJTX,2026-06-25,2026-06-26,technical,medium,closed,38.06,Requested help configuring an integration.
93,9848-JQJTX,2026-08-25,,other,high,open,,General question about plan upgrade options.
94,8637-XJIVR,2026-04-02,2026-04-02,billing,medium,closed,11.34,Requested a refund for a duplicate charge.
95,9803-FTJCG,2026-05-24,,other,medium,open,,General question about plan upgrade options.
96,0278-YXOOG,2026-03-21,2026-03-23,billing,low,closed,57.22,Requested a refund for a duplicate charge.
97,0278-YXOOG,2026-04-25,2026-04-27,billing,low,closed,66.74,Customer disputes a charge on their most recent invoice.
98,3212-KXOCR,2026-04-14,2026-04-14,billing,low,closed,8.07,Customer disputes a charge on their most recent invoice.
99,4598-XLKNJ,2026-04-04,2026-04-05,billing,medium,closed,27.4,Requested a refund for a duplicate charge.
100,4598-XLKNJ,2026-04-12,2026-04-12,other,low,closed,18.51,Requested a copy of past invoices.
101,3679-XASPY,2026-04-27,,billing,medium,open,,Asked why the monthly charge increased without notice.
102,7123-WQUHX,2026-04-16,2026-04-17,technical,low,closed,41.85,Reported repeated login failures over the past week.
103,7123-WQUHX,2026-05-06,2026-05-06,other,low,closed,11.65,Requested a copy of past invoices.
104,5386-THSLQ,2026-09-08,2026-09-09,technical,medium,closed,40.56,Feature X is not syncing data correctly.
105,5386-THSLQ,2026-04-14,,billing,high,open,,Reported a failed payment and requested a retry.
106,6728-DKUCO,2026-05-11,2026-05-12,billing,high,closed,47.82,Requested a refund for a duplicate charge.
107,9750-BOOHV,2026-07-27,2026-07-28,billing,medium,closed,47.1,Customer disputes a charge on their most recent invoice.
108,8597-CWYHH,2026-09-04,2026-09-04,technical,medium,closed,4.63,Requested help configuring an integration.
109,2848-YXSMW,2026-08-02,2026-08-03,billing,high,closed,26.6,Customer disputes a charge on their most recent invoice.
110,0486-HECZI,2026-06-14,2026-06-15,billing,medium,closed,38.17,Customer disputes a charge on their most recent invoice.
111,5712-AHQNN,2026-06-12,2026-06-13,billing,low,closed,28.74,Requested a refund for a duplicate charge.
112,5712-AHQNN,2026-05-27,2026-05-27,technical,high,closed,2.42,Feature X is not syncing data correctly.
113,5712-AHQNN,2026-08-19,2026-08-19,technical,medium,closed,17.29,Reported repeated login failures over the past week.
114,5256-SKJGO,2026-08-28,2026-08-29,other,high,closed,29.8,Requested a copy of past invoices.
115,3071-VBYPO,2026-07-29,,billing,low,open,,Reported a failed payment and requested a retry.
116,3071-VBYPO,2026-06-15,2026-06-15,other,low,closed,23.8,Requested a copy of past invoices.
117,3071-VBYPO,2026-09-12,2026-09-13,technical,low,closed,31.07,App crashes when loading the dashboard view.
118,9560-BBZXK,2026-08-31,2026-08-31,other,medium,closed,1.47,Requested a copy of past invoices.
119,9560-BBZXK,2026-06-02,2026-06-02,other,high,closed,1.1,Provided feedback about the onboarding experience.
120,5299-RULOA,2026-08-04,2026-08-04,technical,medium,closed,1.07,Feature X is not syncing data correctly.
121,5299-RULOA,2026-08-22,2026-08-22,billing,low,closed,13.29,Customer disputes a charge on their most recent invoice.
122,8402-OOOHJ,2026-06-28,2026-06-29,other,medium,closed,30.9,Asked about cancellation policy and notice period.
123,8402-OOOHJ,2026-08-06,,other,high,open,,Provided feedback about the onboarding experience.
124,1091-SOZGA,2026-05-07,,billing,low,open,,Reported a failed payment and requested a retry.
125,1091-SOZGA,2026-06-02,,technical,low,open,,App crashes when loading the dashboard view.
126,0404-SWRVG,2026-03-25,2026-03-28,billing,medium,closed,78.71,Reported a failed payment and requested a retry.
127,7219-TLZHO,2026-08-13,2026-08-14,other,medium,closed,47.66,General question about plan upgrade options.
128,4622-YNKIJ,2026-09-10,2026-09-11,technical,low,closed,29.41,Requested help configuring an integration.
129,4622-YNKIJ,2026-04-11,2026-04-12,billing,medium,closed,37.68,Requested a refund for a duplicate charge.
130,4412-YLTKF,2026-04-14,2026-04-16,other,medium,closed,61.15,General question about plan upgrade options.
131,4412-YLTKF,2026-08-02,2026-08-05,billing,medium,closed,81.4,Reported a failed payment and requested a retry.
132,6734-PSBAW,2026-06-14,2026-06-15,technical,medium,closed,37.09,Requested help configuring an integration.
133,2639-UGMAZ,2026-08-30,2026-08-31,technical,low,closed,43.29,Reported repeated login failures over the past week.
134,6207-WIOLX,2026-09-10,2026-09-12,billing,high,closed,69.8,Reported a failed payment and requested a retry.
135,6207-WIOLX,2026-06-22,2026-06-22,other,high,closed,11.97,Asked about cancellation policy and notice period.
136,8587-XYZSF,2026-09-04,2026-09-04,other,medium,closed,17.35,Provided feedback about the onboarding experience.
137,3091-FYHKI,2026-09-07,2026-09-08,technical,medium,closed,27.57,Feature X is not syncing data correctly.
138,3091-FYHKI,2026-09-05,2026-09-07,billing,high,closed,68.02,Customer disputes a charge on their most recent invoice.
139,2372-HWUHI,2026-08-14,2026-08-14,other,low,closed,20.38,General question about plan upgrade options.
140,2372-HWUHI,2026-03-25,,billing,low,open,,Customer disputes a charge on their most recent invoice.
141,7799-LGRDP,2026-09-01,2026-09-01,other,medium,closed,8.3,Asked about cancellation policy and notice period.
142,7799-LGRDP,2026-04-03,2026-04-04,technical,medium,closed,41.25,Reported repeated login failures over the past week.
143,7850-VWJUU,2026-05-30,2026-05-31,billing,high,closed,41.47,Asked why the monthly charge increased without notice.
144,0390-DCFDQ,2026-03-30,,technical,medium,open,,Requested help configuring an integration.
145,0390-DCFDQ,2026-08-30,2026-09-01,billing,medium,closed,54.17,Customer disputes a charge on their most recent invoice.
146,0390-DCFDQ,2026-09-15,,billing,high,open,,Requested a refund for a duplicate charge.
147,3146-MSEGF,2026-05-09,2026-05-10,billing,medium,closed,35.49,Reported a failed payment and requested a retry.
148,4080-OGPJL,2026-08-26,,technical,medium,open,,App crashes when loading the dashboard view.
149,4080-OGPJL,2026-05-23,2026-05-25,billing,medium,closed,57.26,Customer disputes a charge on their most recent invoice.
150,4080-OGPJL,2026-06-16,,billing,medium,open,,Customer disputes a charge on their most recent invoice.
151,1095-WGNGG,2026-03-27,2026-03-28,technical,medium,closed,41.85,Reported repeated login failures over the past week.
152,2636-SJDOU,2026-08-04,2026-08-04,other,medium,closed,23.99,Asked about cancellation policy and notice period.
153,1131-QQZEB,2026-04-21,2026-04-21,technical,high,closed,6.52,Feature X is not syncing data correctly.
154,5716-EZXZN,2026-06-19,,technical,low,open,,App crashes when loading the dashboard view.
155,5716-EZXZN,2026-04-03,,other,medium,open,,Provided feedback about the onboarding experience.
156,2135-RXIHG,2026-05-17,2026-05-17,billing,medium,closed,2.47,Reported a failed payment and requested a retry.
157,2135-RXIHG,2026-04-07,,other,medium,open,,Provided feedback about the onboarding experience.
158,6440-DKQGE,2026-09-02,2026-09-03,billing,low,closed,39.15,Requested a refund for a duplicate charge.
159,6440-DKQGE,2026-04-21,2026-04-21,technical,low,closed,11.09,Requested help configuring an integration.
160,6440-DKQGE,2026-05-26,2026-05-26,other,low,closed,8.35,Requested a copy of past invoices.
161,3874-EQOEP,2026-06-24,2026-06-25,billing,medium,closed,45.19,Asked why the monthly charge increased without notice.
162,1679-JRFBR,2026-07-22,2026-07-22,technical,high,closed,13.08,Reported repeated login failures over the past week.
163,6551-GNYDG,2026-07-09,2026-07-10,other,high,closed,24.6,Provided feedback about the onboarding experience.
164,6551-GNYDG,2026-08-09,2026-08-10,technical,medium,closed,29.41,App crashes when loading the dashboard view.
165,2749-CTKAJ,2026-07-18,,billing,medium,open,,Requested a refund for a duplicate charge.
166,7554-NEWDD,2026-03-21,2026-03-22,other,medium,closed,34.91,General question about plan upgrade options.
167,0867-MKZVY,2026-07-18,,billing,high,open,,Requested a refund for a duplicate charge.
168,2907-ILJBN,2026-07-11,2026-07-11,other,medium,closed,20.8,Requested a copy of past invoices.
169,2907-ILJBN,2026-05-01,2026-05-02,technical,high,closed,38.47,Requested help configuring an integration.
170,6345-FZOQH,2026-06-07,2026-06-08,other,medium,closed,42.82,Provided feedback about the onboarding experience.
171,3376-BMGFE,2026-05-21,,technical,medium,open,,Requested help configuring an integration.
172,3376-BMGFE,2026-04-29,2026-04-29,billing,medium,closed,21.72,Asked why the monthly charge increased without notice.
173,3376-BMGFE,2026-08-18,2026-08-18,billing,low,closed,8.54,Customer disputes a charge on their most recent invoice.
174,1159-WFSGR,2026-08-06,2026-08-07,technical,low,closed,43.66,Reported repeated login failures over the past week.
175,1875-QIVME,2026-08-27,2026-08-28,billing,high,closed,38.83,Customer disputes a charge on their most recent invoice.
176,1875-QIVME,2026-08-24,2026-08-25,billing,medium,closed,32.8,Customer disputes a charge on their most recent invoice.
177,6727-IOTLZ,2026-05-23,2026-05-24,billing,medium,closed,41.05,Requested a refund for a duplicate charge.
178,2656-FMOKZ,2026-08-13,,technical,medium,open,,Reported repeated login failures over the past week.
179,2656-FMOKZ,2026-08-20,2026-08-20,other,medium,closed,18.83,General question about plan upgrade options.
180,2070-FNEXE,2026-07-06,2026-07-07,technical,high,closed,44.84,Feature X is not syncing data correctly.
181,2070-FNEXE,2026-07-18,2026-07-18,technical,medium,closed,2.64,Feature X is not syncing data correctly.
182,2070-FNEXE,2026-05-09,2026-05-10,billing,low,closed,28.17,Requested a refund for a duplicate charge.
183,2070-FNEXE,2026-05-26,,billing,medium,open,,Asked why the monthly charge increased without notice.
184,5947-SGKCL,2026-08-31,,other,medium,open,,General question about plan upgrade options.
185,5947-SGKCL,2026-06-23,2026-06-24,other,medium,closed,40.43,General question about plan upgrade options.
186,5947-SGKCL,2026-09-03,2026-09-03,other,low,closed,3.1,General question about plan upgrade options.
187,9367-WXLCH,2026-09-14,2026-09-15,technical,medium,closed,40.99,App crashes when loading the dashboard view.
188,5524-KHNJP,2026-09-10,2026-09-10,billing,medium,closed,14.22,Customer disputes a charge on their most recent invoice.
189,8167-GJLRN,2026-06-01,,technical,low,open,,Feature X is not syncing data correctly.
190,8017-UVSZU,2026-03-23,2026-03-23,technical,medium,closed,12.52,Requested help configuring an integration.
191,7100-FQPRV,2026-03-30,2026-03-31,billing,medium,closed,27.46,Reported a failed payment and requested a retry.
192,2472-OVKUP,2026-07-10,2026-07-12,billing,high,closed,61.6,Requested a refund for a duplicate charge.
193,2472-OVKUP,2026-05-18,2026-05-19,billing,medium,closed,26.8,Reported a failed payment and requested a retry.
194,9680-NIAUV,2026-06-07,2026-06-08,other,medium,closed,40.75,Asked about cancellation policy and notice period.
195,2604-IJPDU,2026-04-07,2026-04-08,other,low,closed,34.24,Provided feedback about the onboarding experience.
196,6168-YBYNP,2026-03-30,2026-03-31,billing,low,closed,32.51,Requested a refund for a duplicate charge.
197,6168-YBYNP,2026-07-01,2026-07-02,technical,medium,closed,32.41,Requested help configuring an integration.
198,7255-SSFBC,2026-06-28,2026-06-29,technical,medium,closed,40.5,Feature X is not syncing data correctly.
199,9323-HGFWY,2026-06-11,2026-06-12,technical,low,closed,37.93,Feature X is not syncing data correctly.
200,3363-DTIVD,2026-09-08,,other,medium,open,,Asked about cancellation policy and notice period.
201,6348-SNFUS,2026-07-02,2026-07-02,technical,low,closed,19.47,Requested help configuring an integration.
202,1285-OKIPP,2026-08-08,2026-08-08,billing,low,closed,14.19,Reported a failed payment and requested a retry.
203,1285-OKIPP,2026-06-06,,billing,medium,open,,Requested a refund for a duplicate charge.
204,7825-ECJRF,2026-05-31,2026-05-31,billing,high,closed,7.17,Reported a failed payment and requested a retry.
205,4195-NZGTA,2026-09-14,,technical,low,open,,Feature X is not syncing data correctly.
206,4195-NZGTA,2026-04-11,2026-04-11,billing,high,closed,17.2,Asked why the monthly charge increased without notice.
207,7157-SMCFK,2026-03-24,2026-03-25,billing,low,closed,33.44,Reported a failed payment and requested a retry.
208,4709-LKHYG,2026-07-07,,other,medium,open,,General question about plan upgrade options.
209,2504-DSHIH,2026-07-03,2026-07-04,billing,medium,closed,25.67,Reported a failed payment and requested a retry.
210,9286-BHDQG,2026-08-03,2026-08-03,billing,low,closed,23.03,Customer disputes a charge on their most recent invoice.
211,0230-WEQUW,2026-08-01,,technical,low,open,,Requested help configuring an integration.
212,0230-WEQUW,2026-08-03,2026-08-04,technical,medium,closed,41.6,Reported repeated login failures over the past week.
213,0230-WEQUW,2026-06-29,2026-06-30,technical,medium,closed,41.86,Feature X is not syncing data correctly.
214,2040-LDIWQ,2026-09-06,2026-09-07,technical,low,closed,40.52,Reported repeated login failures over the past week.
215,2040-LDIWQ,2026-07-18,2026-07-19,technical,low,closed,30.6,Requested help configuring an integration.
216,4443-EMBNA,2026-04-23,2026-04-23,other,medium,closed,5.68,Asked about cancellation policy and notice period.
217,2232-DMLXU,2026-09-01,,billing,low,open,,Requested a refund for a duplicate charge.
218,2232-DMLXU,2026-03-26,,billing,medium,open,,Reported a failed payment and requested a retry.
219,4811-JBUVU,2026-08-03,2026-08-04,technical,low,closed,36.04,Reported repeated login failures over the past week.
220,0945-TSONX,2026-09-06,2026-09-07,technical,low,closed,44.1,App crashes when loading the dashboard view.
221,2651-ZCBXV,2026-09-12,2026-09-12,billing,medium,closed,10.05,Customer disputes a charge on their most recent invoice.
222,2651-ZCBXV,2026-04-13,2026-04-14,technical,low,closed,41.8,Reported repeated login failures over the past week.
223,2651-ZCBXV,2026-08-12,2026-08-12,technical,medium,closed,6.36,Requested help configuring an integration.
224,3316-UWXUY,2026-04-01,,technical,low,open,,Reported repeated login failures over the past week.
225,7083-MIOPC,2026-04-16,2026-04-16,technical,high,closed,20.71,Requested help configuring an integration.
226,1984-GPTEH,2026-06-17,2026-06-18,billing,medium,closed,39.71,Requested a refund for a duplicate charge.
227,1251-KRREG,2026-05-11,2026-05-11,technical,medium,closed,18.43,Feature X is not syncing data correctly.
228,1251-KRREG,2026-06-05,2026-06-08,technical,medium,closed,76.12,App crashes when loading the dashboard view.
229,1251-KRREG,2026-06-03,2026-06-04,billing,low,closed,36.99,Customer disputes a charge on their most recent invoice.
230,9903-LYSAB,2026-03-25,2026-03-26,other,high,closed,25.17,Provided feedback about the onboarding experience.
231,0094-OIFMO,2026-03-27,,billing,medium,open,,Customer disputes a charge on their most recent invoice.
232,9227-UAQFT,2026-07-25,2026-07-26,billing,low,closed,42.92,Reported a failed payment and requested a retry.
233,7301-ABVAD,2026-07-04,2026-07-04,technical,high,closed,12.77,Requested help configuring an integration.
234,9058-HRZSV,2026-05-04,2026-05-05,technical,medium,closed,29.52,Requested help configuring an integration.
235,9058-HRZSV,2026-04-15,2026-04-16,other,low,closed,41.22,General question about plan upgrade options.
236,9058-HRZSV,2026-08-14,2026-08-14,technical,medium,closed,2.13,Feature X is not syncing data correctly.
237,0221-WMXNQ,2026-07-11,2026-07-11,billing,low,closed,8.56,Reported a failed payment and requested a retry.
238,0221-WMXNQ,2026-04-30,2026-05-01,other,low,closed,31.42,Asked about cancellation policy and notice period.
239,9947-OTFQU,2026-08-19,,billing,low,open,,Asked why the monthly charge increased without notice.
240,9947-OTFQU,2026-04-19,,technical,medium,open,,Reported repeated login failures over the past week.
241,4629-NRXKX,2026-06-02,2026-06-02,other,low,closed,8.36,General question about plan upgrade options.
242,9514-JDSKI,2026-07-14,2026-07-15,technical,high,closed,25.83,Reported repeated login failures over the past week.
243,3282-ZISZV,2026-08-01,2026-08-02,technical,medium,closed,35.33,Feature X is not syncing data correctly.
244,3282-ZISZV,2026-07-27,2026-07-27,billing,low,closed,15.71,Customer disputes a charge on their most recent invoice.
245,3675-YDUPJ,2026-07-15,2026-07-16,billing,low,closed,27.8,Asked why the monthly charge increased without notice.
246,7017-VFHAY,2026-08-22,,other,low,open,,Provided feedback about the onboarding experience.
247,6655-LHBYW,2026-07-01,2026-07-02,other,medium,closed,38.83,Provided feedback about the onboarding experience.
248,6655-LHBYW,2026-06-06,2026-06-07,technical,high,closed,26.33,Reported repeated login failures over the past week.
249,7273-TEFQD,2026-07-31,,billing,medium,open,,Customer disputes a charge on their most recent invoice.
250,7605-BDWDC,2026-07-25,2026-07-26,other,medium,closed,27.44,Provided feedback about the onboarding experience.
251,0123-CRBRT,2026-06-27,2026-06-28,technical,medium,closed,32.56,App crashes when loading the dashboard view.
252,0123-CRBRT,2026-06-03,2026-06-03,other,medium,closed,19.89,Provided feedback about the onboarding experience.
253,6292-TOSSS,2026-09-14,2026-09-14,billing,medium,closed,5.01,Asked why the monthly charge increased without notice.
254,3197-ARFOY,2026-07-20,2026-07-20,billing,low,closed,7.06,Customer disputes a charge on their most recent invoice.
255,6323-AYBRX,2026-08-23,2026-08-24,other,medium,closed,44.86,Asked about cancellation policy and notice period.
256,7014-ZZXAW,2026-07-04,2026-07-05,billing,medium,closed,32.06,Reported a failed payment and requested a retry.
257,7633-MVPUY,2026-09-13,2026-09-14,billing,medium,closed,33.06,Requested a refund for a duplicate charge.
258,6366-ZGQGL,2026-04-30,,billing,low,open,,Customer disputes a charge on their most recent invoice.
259,6366-ZGQGL,2026-07-07,2026-07-10,other,high,closed,75.87,Provided feedback about the onboarding experience.
260,6366-ZGQGL,2026-03-29,2026-03-31,billing,high,closed,61.54,Asked why the monthly charge increased without notice.
261,4716-HHKQH,2026-05-05,2026-05-06,other,medium,closed,29.0,Requested a copy of past invoices.
262,5940-AHUHD,2026-05-20,,technical,low,open,,Feature X is not syncing data correctly.
263,6432-TWQLB,2026-08-06,2026-08-09,billing,high,closed,72.79,Customer disputes a charge on their most recent invoice.
264,6432-TWQLB,2026-08-27,2026-08-28,technical,high,closed,37.28,App crashes when loading the dashboard view.
265,6432-TWQLB,2026-04-24,2026-04-24,technical,low,closed,4.75,Requested help configuring an integration.
266,4484-GLZOU,2026-04-23,2026-04-24,other,high,closed,46.07,Asked about cancellation policy and notice period.
267,4484-GLZOU,2026-04-29,,technical,medium,open,,Reported repeated login failures over the past week.
268,3179-GBRWV,2026-08-19,2026-08-20,billing,medium,closed,46.14,Requested a refund for a duplicate charge.
269,8229-MYEJZ,2026-08-16,,other,medium,open,,Asked about cancellation policy and notice period.
270,9577-WJVCQ,2026-07-07,2026-07-08,other,medium,closed,38.2,Asked about cancellation policy and notice period.
271,9512-UIBFX,2026-06-04,,technical,medium,open,,App crashes when loading the dashboard view.
272,5583-SXDAG,2026-08-31,2026-09-01,other,medium,closed,42.5,Requested a copy of past invoices.
273,5583-SXDAG,2026-08-20,2026-08-21,technical,medium,closed,41.81,App crashes when loading the dashboard view.
274,3580-REOAC,2026-07-03,2026-07-03,other,medium,closed,18.22,General question about plan upgrade options.
275,3580-REOAC,2026-04-13,,billing,medium,open,,Asked why the monthly charge increased without notice.
276,7534-BFESC,2026-09-08,2026-09-09,technical,medium,closed,36.97,Reported repeated login failures over the past week.
277,1563-IWQEX,2026-09-09,2026-09-10,technical,medium,closed,46.63,Reported repeated login failures over the past week.
278,1563-IWQEX,2026-06-26,2026-06-26,technical,low,closed,3.03,Feature X is not syncing data correctly.
