ticket_id,customer_id,created_at,resolved_at,category,priority,status,resolution_time_hours,ticket_text
73,CUST-000061,2026-04-08,2026-04-09,technical,low,closed,34.35,Reported repeated login failures over the past week.
74,CUST-000061,2026-09-07,2026-09-07,technical,low,closed,11.88,Requested help configuring an integration.
75,CUST-000066,2026-04-28,2026-04-29,technical,medium,closed,25.96,App crashes when loading the dashboard view.
76,CUST-000066,2026-09-11,2026-09-12,other,medium,closed,35.82,General question about plan upgrade options.
77,CUST-000066,2026-06-19,,other,medium,open,,General question about plan upgrade options.
78,CUST-000069,2026-04-13,2026-04-13,technical,high,closed,15.16,Feature X is not syncing data correctly.
79,CUST-000070,2026-07-18,,billing,medium,open,,Asked why the monthly charge increased without notice.
80,CUST-000070,2026-09-09,2026-09-09,billing,low,closed,22.65,Asked why the monthly charge increased without notice.
81,CUST-000071,2026-08-09,2026-08-10,technical,low,closed,32.49,Reported repeated login failures over the past week.
82,CUST-000072,2026-06-11,2026-06-12,technical,medium,closed,42.53,Requested help configuring an integration.
83,CUST-000072,2026-07-01,2026-07-02,billing,low,closed,45.11,Requested a refund for a duplicate charge.
84,CUST-000072,2026-06-11,2026-06-11,billing,low,closed,11.89,Requested a refund for a duplicate charge.
85,CUST-000074,2026-08-21,2026-08-22,other,low,closed,33.91,Provided feedback about the onboarding experience.
86,CUST-000075,2026-05-23,2026-05-24,technical,low,closed,32.23,Requested help configuring an integration.
87,CUST-000075,2026-04-30,2026-05-01,other,low,closed,29.01,General question about plan upgrade options.
88,CUST-000076,2026-05-07,,billing,medium,open,,Asked why the monthly charge increased without notice.
89,CUST-000076,2026-05-23,2026-05-23,technical,medium,closed,13.77,App crashes when loading the dashboard view.
90,CUST-000076,2026-06-05,2026-06-07,billing,low,closed,70.53,Customer disputes a charge on their most recent invoice.
91,CUST-000077,2026-08-17,,billing,low,open,,Asked why the monthly charge increased without notice.
92,CUST-000078,2026-05-09,2026-05-09,technical,low,closed,2.37,Reported repeated login failures over the past week.
93,CUST-000078,2026-05-26,2026-05-26,technical,medium,closed,7.52,Requested help configuring an integration.
94,CUST-000079,2026-07-23,2026-07-24,technical,low,closed,29.46,Reported repeated login failures over the past week.
95,CUST-000080,2026-06-20,,technical,low,open,,Feature X is not syncing data correctly.
96,CUST-000080,2026-04-24,,technical,low,open,,Feature X is not syncing data correctly.
97,CUST-000081,2026-05-28,2026-05-28,technical,medium,closed,16.25,App crashes when loading the dashboard view.
98,CUST-000084,2026-07-28,2026-07-29,other,low,closed,30.2,Asked about cancellation policy and notice period.
99,CUST-000085,2026-03-28,2026-03-28,technical,low,closed,21.56,Feature X is not syncing data correctly.
100,CUST-000089,2026-04-15,,billing,low,open,,Reported a failed payment and requested a retry.
101,CUST-000089,2026-08-11,2026-08-11,technical,medium,closed,15.5,App crashes when loading the dashboard view.
102,CUST-000091,2026-04-09,2026-04-10,technical,high,closed,31.03,Reported repeated login failures over the past week.
103,CUST-000092,2026-07-01,2026-07-01,other,high,closed,1.92,Asked about cancellation policy and notice period.
104,CUST-000094,2026-04-26,2026-04-27,other,high,closed,30.3,Asked about cancellation policy and notice period.
105,CUST-000095,2026-07-15,,technical,low,open,,Feature X is not syncing data correctly.
106,CUST-000095,2026-05-23,,other,low,open,,Requested a copy of past invoices.
107,CUST-000095,2026-06-04,,billing,high,open,,Reported a failed payment and requested a retry.
108,CUST-000096,2026-06-11,2026-06-11,technical,medium,closed,3.22,Reported repeated login failures over the past week.
109,CUST-000096,2026-07-05,,other,medium,open,,Provided feedback about the onboarding experience.
110,CUST-000096,2026-05-14,2026-05-15,technical,medium,closed,25.32,Reported repeated login failures over the past week.
111,CUST-000100,2026-07-04,2026-07-04,technical,high,closed,23.3,App crashes when loading the dashboard view.
112,CUST-000101,2026-09-08,2026-09-08,other,high,closed,12.04,General question about plan upgrade options.
113,CUST-000101,2026-08-03,2026-08-04,technical,medium,closed,25.34,Reported repeated login failures over the past week.
114,CUST-000101,2026-08-09,,other,medium,open,,Provided feedback about the onboarding experience.
115,CUST-000102,2026-04-09,,other,low,open,,Requested a copy of past invoices.
116,CUST-000103,2026-08-15,2026-08-15,other,medium,closed,2.13,Provided feedback about the onboarding experience.
117,CUST-000103,2026-06-12,2026-06-12,technical,medium,closed,6.84,Requested help configuring an integration.
118,CUST-000104,2026-05-17,2026-05-17,other,medium,closed,4.32,Asked about cancellation policy and notice period.
119,CUST-000105,2026-06-23,,technical,medium,open,,Reported repeated login failures over the past week.
120,CUST-000107,2026-08-06,,other,low,open,,General question about plan upgrade options.
121,CUST-000108,2026-06-28,2026-06-28,billing,medium,closed,23.32,Customer disputes a charge on their most recent invoice.
122,CUST-000108,2026-05-12,2026-05-13,other,low,closed,35.92,Requested a copy of past invoices.
123,CUST-000109,2026-07-08,2026-07-09,billing,high,closed,43.13,Reported a failed payment and requested a retry.
124,CUST-000109,2026-04-11,,technical,low,open,,Reported repeated login failures over the past week.
125,CUST-000109,2026-04-26,2026-04-27,other,medium,closed,46.58,Provided feedback about the onboarding experience.
126,CUST-000109,2026-04-30,2026-04-30,billing,high,closed,9.05,Asked why the monthly charge increased without notice.
127,CUST-000109,2026-06-26,,technical,high,open,,App crashes when loading the dashboard view.
128,CUST-000109,2026-06-05,2026-06-06,billing,medium,closed,39.67,Asked why the monthly charge increased without notice.
129,CUST-000113,2026-06-25,2026-06-26,billing,medium,closed,24.76,Customer disputes a charge on their most recent invoice.
130,CUST-000113,2026-07-26,2026-07-26,other,low,closed,11.7,Requested a copy of past invoices.
131,CUST-000114,2026-06-15,,billing,low,open,,Asked why the monthly charge increased without notice.
132,CUST-000115,2026-03-22,2026-03-23,technical,low,closed,25.04,Requested help configuring an integration.
133,CUST-000115,2026-08-29,,other,medium,open,,Asked about cancellation policy and notice period.
134,CUST-000115,2026-04-13,2026-04-14,technical,medium,closed,24.55,Requested help configuring an integration.
135,CUST-000119,2026-07-03,,other,low,open,,General question about plan upgrade options.
136,CUST-000119,2026-05-24,2026-05-25,technical,low,closed,40.32,Feature X is not syncing data correctly.
137,CUST-000121,2026-04-11,,technical,high,open,,Requested help configuring an integration.
138,CUST-000121,2026-06-21,2026-06-22,billing,high,closed,33.92,Requested a refund for a duplicate charge.
139,CUST-000122,2026-04-01,2026-04-01,technical,medium,closed,14.68,Requested help configuring an integration.
140,CUST-000123,2026-07-13,2026-07-13,billing,low,closed,20.08,Asked why the monthly charge increased without notice.
141,CUST-000129,2026-07-30,2026-07-30,other,high,closed,19.76,Asked about cancellation policy and notice period.
142,CUST-000129,2026-05-02,2026-05-02,billing,low,closed,12.59,Requested a refund for a duplicate charge.
143,CUST-000130,2026-08-02,,other,medium,open,,General question about plan upgrade options.
144,CUST-000130,2026-09-07,2026-09-08,billing,medium,closed,44.09,Asked why the monthly charge increased without notice.
145,CUST-000130,2026-08-08,2026-08-08,billing,medium,closed,7.72,Asked why the monthly charge increased without notice.
146,CUST-000131,2026-07-17,2026-07-17,other,low,closed,17.01,Requested a copy of past invoices.
147,CUST-000132,2026-07-28,2026-07-28,other,medium,closed,12.72,Provided feedback about the onboarding experience.
148,CUST-000133,2026-04-03,,technical,low,open,,Requested help configuring an integration.
149,CUST-000134,2026-06-25,2026-06-26,billing,medium,closed,41.18,Reported a failed payment and requested a retry.
150,CUST-000134,2026-05-06,2026-05-06,other,medium,closed,20.34,Provided feedback about the onboarding experience.
151,CUST-000135,2026-08-27,2026-08-27,billing,medium,closed,19.39,Customer disputes a charge on their most recent invoice.
152,CUST-000137,2026-07-12,2026-07-13,other,medium,closed,29.05,Requested a copy of past invoices.
153,CUST-000138,2026-06-05,2026-06-06,technical,high,closed,47.43,Requested help configuring an integration.
154,CUST-000138,2026-03-30,2026-03-30,technical,medium,closed,13.04,Feature X is not syncing data correctly.
155,CUST-000140,2026-07-02,2026-07-03,technical,medium,closed,38.5,Requested help configuring an integration.
156,CUST-000143,2026-05-15,2026-05-15,technical,high,closed,3.69,Reported repeated login failures over the past week.
157,CUST-000143,2026-08-21,2026-08-22,billing,medium,closed,42.0,Requested a refund for a duplicate charge.
158,CUST-000144,2026-06-02,,other,medium,open,,Provided feedback about the onboarding experience.
159,CUST-000148,2026-04-21,2026-04-22,technical,low,closed,28.59,Feature X is not syncing data correctly.
160,CUST-000149,2026-05-14,2026-05-14,technical,low,closed,15.03,Feature X is not syncing data correctly.
161,CUST-000149,2026-04-01,,billing,low,open,,Asked why the monthly charge increased without notice.
162,CUST-000149,2026-04-10,2026-04-10,technical,medium,closed,21.02,App crashes when loading the dashboard view.
163,CUST-000149,2026-06-12,2026-06-13,billing,high,closed,33.66,Reported a failed payment and requested a retry.
164,CUST-000150,2026-05-06,,billing,high,open,,Requested a refund for a duplicate charge.
165,CUST-000153,2026-04-22,2026-04-23,other,high,closed,33.38,Requested a copy of past invoices.
166,CUST-000153,2026-08-03,2026-08-03,billing,low,closed,2.14,Reported a failed payment and requested a retry.
167,CUST-000154,2026-06-13,2026-06-13,other,low,closed,13.77,Requested a copy of past invoices.
168,CUST-000155,2026-04-23,,technical,low,open,,Feature X is not syncing data correctly.
169,CUST-000156,2026-04-29,2026-04-30,other,medium,closed,33.65,Requested a copy of past invoices.
170,CUST-000157,2026-07-18,2026-07-18,technical,medium,closed,7.46,Feature X is not syncing data correctly.
171,CUST-000158,2026-08-15,2026-08-16,technical,medium,closed,34.88,Feature X is not syncing data correctly.
172,CUST-000161,2026-06-03,2026-06-03,billing,low,closed,14.14,Asked why the monthly charge increased without notice.
173,CUST-000163,2026-07-23,2026-07-23,other,low,closed,10.04,Provided feedback about the onboarding experience.
174,CUST-000163,2026-03-24,2026-03-24,technical,medium,closed,15.21,Feature X is not syncing data correctly.
175,CUST-000164,2026-05-03,2026-05-03,billing,medium,closed,11.4,Asked why the monthly charge increased without notice.
176,CUST-000165,2026-05-10,2026-05-10,technical,medium,closed,5.02,Feature X is not syncing data correctly.
177,CUST-000166,2026-04-19,2026-04-20,other,low,closed,37.77,Provided feedback about the onboarding experience.
178,CUST-000167,2026-07-30,,billing,low,open,,Asked why the monthly charge increased without notice.
179,CUST-000168,2026-07-23,,technical,high,open,,Requested help configuring an integration.
180,CUST-000170,2026-04-13,2026-04-13,billing,medium,closed,17.07,Asked why the monthly charge increased without notice.
181,CUST-000170,2026-07-08,2026-07-09,technical,low,closed,34.54,Feature X is not syncing data correctly.
182,CUST-000171,2026-05-17,2026-05-17,billing,medium,closed,17.19,Requested a refund for a duplicate charge.
183,CUST-000171,2026-08-08,,other,low,open,,General question about plan upgrade options.
184,CUST-000173,2026-05-23,,other,medium,open,,Asked about cancellation policy and notice period.
185,CUST-000173,2026-08-11,,billing,medium,open,,Asked why the monthly charge increased without notice.
186,CUST-000174,2026-07-01,,other,medium,open,,Asked about cancellation policy and notice period.
187,CUST-000175,2026-08-20,2026-08-20,technical,low,closed,17.84,Reported repeated login failures over the past week.
188,CUST-000177,2026-03-25,2026-03-25,other,medium,closed,9.34,Provided feedback about the onboarding experience.
189,CUST-000177,2026-07-25,2026-07-25,billing,low,closed,12.59,Requested a refund for a duplicate charge.
190,CUST-000181,2026-06-12,2026-06-13,billing,medium,closed,42.73,Reported a failed payment and requested a retry.
191,CUST-000181,2026-07-17,2026-07-17,billing,medium,closed,22.51,Customer disputes a charge on their most recent invoice.
192,CUST-000183,2026-05-23,2026-05-24,technical,medium,closed,25.65,Requested help configuring an integration.
193,CUST-000183,2026-05-25,,technical,medium,open,,App crashes when loading the dashboard view.
194,CUST-000185,2026-05-10,2026-05-10,other,medium,closed,15.64,Provided feedback about the onboarding experience.
195,CUST-000186,2026-05-17,,technical,medium,open,,App crashes when loading the dashboard view.
196,CUST-000186,2026-08-12,,other,medium,open,,Asked about cancellation policy and notice period.
197,CUST-000187,2026-08-24,2026-08-25,technical,low,closed,30.1,Reported repeated login failures over the past week.
198,CUST-000187,2026-06-15,,billing,medium,open,,Requested a refund for a duplicate charge.
199,CUST-000187,2026-09-03,2026-09-03,other,low,closed,21.08,Requested a copy of past invoices.
200,CUST-000188,2026-04-05,2026-04-06,technical,high,closed,40.09,Requested help configuring an integration.
201,CUST-000188,2026-05-27,2026-05-28,billing,low,closed,28.59,Asked why the monthly charge increased without notice.
202,CUST-000193,2026-08-21,,technical,low,open,,Requested help configuring an integration.
203,CUST-000193,2026-08-29,,technical,medium,open,,Reported repeated login failures over the past week.
204,CUST-000194,2026-07-06,,billing,low,open,,Customer disputes a charge on their most recent invoice.
205,CUST-000194,2026-07-05,2026-07-05,other,medium,closed,18.76,General question about plan upgrade options.
206,CUST-000194,2026-08-01,2026-08-02,billing,high,closed,43.23,Reported a failed payment and requested a retry.
207,CUST-000196,2026-04-22,,billing,medium,open,,Customer disputes a charge on their most recent invoice.
208,CUST-000196,2026-08-02,,billing,medium,open,,Customer disputes a charge on their most recent invoice.
209,CUST-000196,2026-04-29,2026-04-30,technical,medium,closed,46.18,Reported repeated login failures over the past week.
210,CUST-000197,2026-04-23,,technical,medium,open,,Requested help configuring an integration.
211,CUST-000197,2026-07-30,2026-07-30,billing,medium,closed,3.25,Requested a refund for a duplicate charge.
212,CUST-000198,2026-08-25,,other,high,open,,Provided feedback about the onboarding experience.
213,CUST-000198,2026-09-07,2026-09-07,billing,low,closed,17.03,Reported a failed payment and requested a retry.
214,CUST-000198,2026-04-27,,technical,high,open,,Reported repeated login failures over the past week.
215,CUST-000200,2026-09-08,2026-09-09,billing,low,closed,38.74,Requested a refund for a duplicate charge.
216,CUST-000200,2026-06-23,2026-06-24,billing,high,closed,37.33,Asked why the monthly charge increased without notice.
217,CUST-000200,2026-03-25,2026-03-26,billing,medium,closed,35.01,Requested a refund for a duplicate charge.
218,CUST-000200,2026-05-10,2026-05-11,billing,medium,closed,27.36,Reported a failed payment and requested a retry.
219,CUST-000201,2026-05-19,2026-05-19,billing,medium,closed,23.67,Reported a failed payment and requested a retry.
220,CUST-000201,2026-08-28,,other,low,open,,Asked about cancellation policy and notice period.
221,CUST-000203,2026-07-22,,technical,high,open,,Reported repeated login failures over the past week.
222,CUST-000203,2026-03-24,2026-03-24,other,medium,closed,20.37,Requested a copy of past invoices.
223,CUST-000203,2026-04-29,2026-04-30,other,medium,closed,39.35,Requested a copy of past invoices.
224,CUST-000204,2026-08-19,2026-08-20,technical,medium,closed,40.19,Requested help configuring an integration.
225,CUST-000205,2026-06-03,,technical,medium,open,,Reported repeated login failures over the past week.
226,CUST-000206,2026-05-13,2026-05-13,technical,medium,closed,21.25,Reported repeated login failures over the past week.
227,CUST-000211,2026-06-11,2026-06-12,technical,medium,closed,41.86,Feature X is not syncing data correctly.
228,CUST-000211,2026-03-25,2026-03-25,billing,medium,closed,2.94,Requested a refund for a duplicate charge.
229,CUST-000212,2026-07-05,2026-07-06,billing,medium,closed,35.93,Customer disputes a charge on their most recent invoice.
230,CUST-000212,2026-09-14,2026-09-14,billing,high,closed,20.62,Requested a refund for a duplicate charge.
231,CUST-000212,2026-08-04,2026-08-05,billing,medium,closed,37.03,Customer disputes a charge on their most recent invoice.
232,CUST-000213,2026-09-07,,technical,high,open,,Reported repeated login failures over the past week.
233,CUST-000213,2026-07-04,2026-07-04,billing,medium,closed,17.17,Requested a refund for a duplicate charge.
234,CUST-000215,2026-04-15,2026-04-15,technical,medium,closed,3.49,Feature X is not syncing data correctly.
235,CUST-000215,2026-03-30,,other,high,open,,Asked about cancellation policy and notice period.
236,CUST-000217,2026-09-03,2026-09-04,technical,high,closed,47.91,App crashes when loading the dashboard view.
237,CUST-000217,2026-03-30,2026-03-31,billing,medium,closed,46.51,Customer disputes a charge on their most recent invoice.
238,CUST-000218,2026-08-10,2026-08-12,other,high,closed,57.8,Provided feedback about the onboarding experience.
239,CUST-000219,2026-07-11,,billing,medium,open,,Requested a refund for a duplicate charge.
240,CUST-000220,2026-05-31,2026-05-31,technical,medium,closed,21.64,Requested help configuring an integration.
241,CUST-000220,2026-05-05,,billing,medium,open,,Asked why the monthly charge increased without notice.
242,CUST-000223,2026-05-31,,billing,medium,open,,Reported a failed payment and requested a retry.
243,CUST-000223,2026-03-30,2026-03-30,other,medium,closed,1.61,Asked about cancellation policy and notice period.
244,CUST-000225,2026-07-12,,other,medium,open,,Asked about cancellation policy and notice period.
245,CUST-000225,2026-07-04,2026-07-05,billing,medium,closed,44.71,Customer disputes a charge on their most recent invoice.
246,CUST-000226,2026-06-21,2026-06-21,other,medium,closed,14.42,Asked about cancellation policy and notice period.
247,CUST-000227,2026-07-13,2026-07-13,other,medium,closed,17.82,Asked about cancellation policy and notice period.
248,CUST-000230,2026-05-20,2026-05-21,technical,high,closed,39.59,Feature X is not syncing data correctly.
249,CUST-000231,2026-07-25,2026-07-25,technical,medium,closed,12.57,App crashes when loading the dashboard view.
250,CUST-000234,2026-04-05,,other,high,open,,General question about plan upgrade options.
251,CUST-000235,2026-04-22,2026-04-23,other,medium,closed,37.35,General question about plan upgrade options.
252,CUST-000237,2026-06-06,,technical,medium,open,,Reported repeated login failures over the past week.
253,CUST-000240,2026-08-12,2026-08-12,other,low,closed,6.59,Provided feedback about the onboarding experience.
254,CUST-000241,2026-07-22,2026-07-22,billing,medium,closed,1.99,Requested a refund for a duplicate charge.
255,CUST-000241,2026-03-29,2026-03-30,technical,low,closed,44.74,App crashes when loading the dashboard view.
256,CUST-000242,2026-05-13,2026-05-13,other,medium,closed,14.0,Asked about cancellation policy and notice period.
257,CUST-000243,2026-04-02,2026-04-03,technical,high,closed,46.94,Requested help configuring an integration.
258,CUST-000243,2026-06-01,2026-06-02,technical,high,closed,24.6,Requested help configuring an integration.
259,CUST-000244,2026-05-01,,technical,medium,open,,App crashes when loading the dashboard view.
260,CUST-000244,2026-06-14,,technical,low,open,,Requested help configuring an integration.
261,CUST-000244,2026-06-20,,billing,low,open,,Reported a failed payment and requested a retry.
262,CUST-000244,2026-09-13,,other,medium,open,,Asked about cancellation policy and notice period.
263,CUST-000245,2026-07-17,2026-07-18,other,low,closed,45.65,Requested a copy of past invoices.
264,CUST-000245,2026-08-18,,other,high,open,,Provided feedback about the onboarding experience.
265,CUST-000246,2026-07-17,2026-07-18,billing,low,closed,44.34,Reported a failed payment and requested a retry.
266,CUST-000246,2026-09-12,,other,medium,open,,General question about plan upgrade options.
267,CUST-000247,2026-05-16,2026-05-16,technical,medium,closed,18.8,App crashes when loading the dashboard view.
268,CUST-000248,2026-04-29,,billing,high,open,,Customer disputes a charge on their most recent invoice.
269,CUST-000249,2026-06-07,2026-06-07,technical,medium,closed,14.62,Feature X is not syncing data correctly.
270,CUST-000250,2026-06-01,2026-06-01,technical,low,closed,16.11,Requested help configuring an integration.
271,CUST-000251,2026-04-27,2026-04-28,other,low,closed,45.53,Asked about cancellation policy and notice period.
272,CUST-000251,2026-07-02,2026-07-03,other,medium,closed,33.08,Asked about cancellation policy and notice period.
273,CUST-000252,2026-06-15,2026-06-16,billing,low,closed,28.84,Requested a refund for a duplicate charge.
274,CUST-000252,2026-08-14,2026-08-15,other,medium,closed,24.44,Asked about cancellation policy and notice period.
275,CUST-000253,2026-08-16,,billing,medium,open,,Requested a refund for a duplicate charge.
276,CUST-000254,2026-04-21,2026-04-23,billing,high,closed,71.77,Customer disputes a charge on their most recent invoice.
277,CUST-000255,2026-04-11,,technical,medium,open,,Reported repeated login failures over the past week.
278,CUST-000255,2026-06-15,,technical,high,open,,Requested help configuring an integration.
279,CUST-000256,2026-09-08,2026-09-08,other,high,closed,23.88,Provided feedback about the onboarding experience.
280,CUST-000257,2026-07-29,2026-07-29,billing,medium,closed,2.31,Requested a refund for a duplicate charge.
281,CUST-000258,2026-05-04,2026-05-04,billing,medium,closed,4.83,Customer disputes a charge on their most recent invoice.
282,CUST-000259,2026-04-10,2026-04-10,technical,high,closed,11.42,App crashes when loading the dashboard view.
283,CUST-000261,2026-06-19,,billing,medium,open,,Requested a refund for a duplicate charge.
284,CUST-000261,2026-06-03,,billing,low,open,,Asked why the monthly charge increased without notice.
285,CUST-000261,2026-05-13,2026-05-15,technical,high,closed,53.22,Requested help configuring an integration.
286,CUST-000262,2026-07-20,,technical,medium,open,,Feature X is not syncing data correctly.
287,CUST-000265,2026-08-07,2026-08-08,other,low,closed,26.68,Requested a copy of past invoices.
288,CUST-000265,2026-04-18,,other,low,open,,General question about plan upgrade options.
289,CUST-000266,2026-08-26,2026-08-27,billing,medium,closed,45.18,Customer disputes a charge on their most recent invoice.
290,CUST-000267,2026-04-12,,billing,high,open,,Customer disputes a charge on their most recent invoice.
291,CUST-000268,2026-04-21,,billing,low,open,,Requested a refund for a duplicate charge.
292,CUST-000268,2026-05-21,2026-05-21,billing,low,closed,15.8,Reported a failed payment and requested a retry.
293,CUST-000268,2026-05-10,,technical,medium,open,,Requested help configuring an integration.
294,CUST-000268,2026-05-25,2026-05-25,billing,medium,closed,12.63,Asked why the monthly charge increased without notice.
